version,author,changed_artifact,artifact_version,prompt_hash,tools_hash,reason,hypothesis,metric_name,metric_before,metric_after,run_file
v0,team,baseline,v0+peb1c8179815b+t6cdb53d5d7b8,eb1c8179815b,6cdb53d5d7b8,baseline,,case_accuracy,,0.70,runs/v0_B_base_openai_20260729T151509185119.json
v1,team,clarification and confirmation rules,v1+p5f397afa2e1e+t6cdb53d5d7b8,5f397afa2e1e,6cdb53d5d7b8,clarify missing account or URL and confirm external send,Clarification and confirmation rules reduce missing-information and wrong-boundary errors.,case_accuracy,0.70,0.80,runs/v1_B_base_openai_20260729T151957186167.json
v2,team,semantic tool names and declarations,v2+pfcb582426d76+t5e1284500aa6,fcb582426d76,5e1284500aa6,rename model-facing tools and add deduplication tool,Semantic names and precise declarations reduce wrong-tool and wrong-argument errors.,case_accuracy,0.80,0.95,runs/v2_B_base_openai_20260729T154449837309.json
v3,team,focused missing-account routing prompt,v3+p081e27341fb6+t5e1284500aa6,081e27341fb6,5e1284500aa6,add one explicit missing-account example after V2 R10 failure,Explicit positive and negative missing-account boundary improves clarification routing.,case_accuracy,0.95,0.95,runs/v3_B_base_openai_20260729T154732827585.json
